,기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율,월
1832,경산시,2602250.0,8.2,8월
1833,경주시,4673489.0,14.7,8월
1834,고령군,507057.0,1.6,8월
1835,구미시,2163706.0,6.8,8월
1836,군위군,717549.0,2.3,8월
1837,김천시,1119158.0,3.5,8월
1838,문경시,1076494.0,3.4,8월
1839,봉화군,508830.0,1.6,8월
1840,상주시,1194983.0,3.8,8월
1841,성주군,718167.0,2.3,8월
1842,안동시,1508233.0,4.8,8월
1843,영덕군,1202395.0,3.8,8월
1844,영양군,193928.0,0.6,8월
1845,영주시,787991.0,2.5,8월
1846,영천시,1082019.0,3.4,8월
1847,예천군,653226.0,2.1,8월
1848,울릉군,232276.0,0.7,8월
1849,울진군,945171.0,3.0,8월
1850,의성군,652546.0,2.1,8월
1851,청도군,1057583.0,3.3,8월
1852,청송군,504573.0,1.6,8월
1853,칠곡군,1867255.0,5.9,8월
1854,포항시 남구,2752096.0,8.7,8월
1855,포항시 북구,3005297.0,9.5,8월
1856,광산구,3543171.0,22.6,8월
1857,남구,1598170.0,10.2,8월
1858,동구,2817756.0,18.0,8월
1859,북구,3735246.0,23.8,8월
1860,서구,3981522.0,25.4,8월
1861,세종특별자치시,2529436.0,100.0,8월
1862,괴산군,1148774.0,5.3,8월
1863,단양군,1017919.0,4.7,8월
1864,보은군,573222.0,2.6,8월
1865,영동군,667306.0,3.1,8월
1866,옥천군,977252.0,4.5,8월
1867,음성군,1712998.0,7.9,8월
1868,제천시,1548654.0,7.1,8월
1869,증평군,494713.0,2.3,8월
1870,진천군,1111924.0,5.1,8월
1871,청주시 상당구,2550166.0,11.8,8월
1872,청주시 서원구,2436769.0,11.2,8월
1873,청주시 청원구,2186384.0,10.1,8월
1874,청주시 흥덕구,3005664.0,13.9,8월
1875,충주시,2264856.0,10.4,8월
1876,강서구,3196457.0,6.6,8월
1877,금정구,2302893.0,4.7,8월
1878,기장군,3810239.0,7.9,8월
1879,남구,2380379.0,4.9,8월
1880,동구,2792207.0,5.8,8월
1881,동래구,2842937.0,5.9,8월
1882,부산진구,5956032.0,12.3,8월
1883,북구,1906766.0,3.9,8월
1884,사상구,2219898.0,4.6,8월
1885,사하구,1930813.0,4.0,8월
1886,서구,1843527.0,3.8,8월
1887,수영구,3523780.0,7.3,8월
1888,연제구,2309692.0,4.8,8월
1889,영도구,1710724.0,3.5,8월
1890,중구,3339882.0,6.9,8월
1891,해운대구,6428823.0,13.3,8월
1892,남구,2230370.0,7.7,8월
1893,달서구,4433242.0,15.3,8월
1894,달성군,2462719.0,8.5,8월
1895,동구,4825557.0,16.7,8월
1896,북구,3933850.0,13.6,8월
1897,서구,1662963.0,5.8,8월
1898,수성구,4125912.0,14.3,8월
1899,중구,5220902.0,18.1,8월
1900,고창군,942282.0,4.6,8월
1901,군산시,2292705.0,11.2,8월
1902,김제시,968551.0,4.7,8월
1903,남원시,1019818.0,5.0,8월
1904,무주군,914814.0,4.5,8월
1905,부안군,1090204.0,5.3,8월
1906,순창군,452412.0,2.2,8월
1907,완주군,2012910.0,9.8,8월
1908,익산시,1853925.0,9.1,8월
1909,임실군,779304.0,3.8,8월
1910,장수군,313508.0,1.5,8월
1911,전주시 덕진구,3050107.0,14.9,8월
1912,전주시 완산구,3317818.0,16.2,8월
1913,정읍시,960768.0,4.7,8월
1914,진안군,500735.0,2.4,8월
1915,서귀포시,4773560.0,43.7,8월
1916,제주시,6155493.0,56.3,8월
1917,강화군,1585737.0,5.2,8월
1918,계양구,2260517.0,7.4,8월
1919,남동구,4303741.0,14.0,8월
1920,동구,805214.0,2.6,8월
1921,미추홀구,3658806.0,11.9,8월
1922,부평구,4047881.0,13.2,8월
1923,서구,4380129.0,14.2,8월
1924,연수구,3901551.0,12.7,8월
1925,옹진군,681151.0,2.2,8월
1926,중구,5114151.0,16.6,8월
1927,남구,3564765.0,29.8,8월
1928,동구,1184826.0,9.9,8월
1929,북구,2013470.0,16.8,8월
1930,울주군,3131394.0,26.2,8월
1931,중구,2062683.0,17.3,8월
1932,강남구,18110175.0,11.2,8월
1933,강동구,4104982.0,2.5,8월
1934,강북구,2647060.0,1.6,8월
1935,강서구,6900742.0,4.2,8월
1936,관악구,4844820.0,3.0,8월
1937,광진구,5643500.0,3.5,8월
1938,구로구,4854312.0,3.0,8월
1939,금천구,2420879.0,1.5,8월
1940,노원구,4595983.0,2.8,8월
1941,도봉구,2398181.0,1.5,8월
1942,동대문구,4230316.0,2.6,8월
1943,동작구,4370268.0,2.7,8월
1944,마포구,9835715.0,6.1,8월
1945,서대문구,6741607.0,4.2,8월
1946,서초구,12903474.0,7.9,8월
1947,성동구,4789313.0,2.9,8월
1948,성북구,3904354.0,2.4,8월
1949,송파구,10007423.0,6.2,8월
1950,양천구,3197682.0,2.0,8월
1951,영등포구,9088801.0,5.6,8월
1952,용산구,8694726.0,5.4,8월
1953,은평구,3079192.0,1.9,8월
1954,종로구,10924300.0,6.7,8월
1955,중구,11289430.0,7.0,8월
1956,중랑구,2819650.0,1.7,8월
1957,계룡시,416423.0,1.5,8월
1958,공주시,2502864.0,9.1,8월
1959,금산군,982491.0,3.6,8월
1960,논산시,1429774.0,5.2,8월
1961,당진시,2109455.0,7.6,8월
1962,보령시,1941266.0,7.0,8월
1963,부여군,962954.0,3.5,8월
1964,서산시,1624042.0,5.9,8월
1965,서천군,965036.0,3.5,8월
1966,아산시,2913012.0,10.5,8월
1967,예산군,1328144.0,4.8,8월
1968,천안시 동남구,3769695.0,13.7,8월
1969,천안시 서북구,3190626.0,11.6,8월
1970,청양군,429471.0,1.6,8월
1971,태안군,2016181.0,7.3,8월
1972,홍성군,1031062.0,3.7,8월
1973,대덕구,2032669.0,11.8,8월
1974,동구,2745211.0,15.9,8월
1975,서구,4677668.0,27.1,8월
1976,유성구,4589987.0,26.6,8월
1977,중구,3236734.0,18.7,8월
1978,강진군,503384.0,2.2,8월
1979,고흥군,693853.0,3.0,8월
1980,곡성군,491734.0,2.1,8월
1981,광양시,1246208.0,5.4,8월
1982,구례군,603611.0,2.6,8월
1983,나주시,1407562.0,6.1,8월
1984,담양군,1507198.0,6.5,8월
1985,목포시,2293077.0,9.9,8월
1986,무안군,1268972.0,5.5,8월
1987,보성군,655969.0,2.8,8월
1988,순천시,2240822.0,9.7,8월
1989,신안군,703243.0,3.0,8월
1990,여수시,2988285.0,12.9,8월
1991,영광군,662816.0,2.9,8월
1992,영암군,898321.0,3.9,8월
1993,완도군,639288.0,2.8,8월
1994,장성군,870279.0,3.7,8월
1995,장흥군,511048.0,2.2,8월
1996,진도군,506143.0,2.2,8월
1997,함평군,556485.0,2.4,8월
1998,해남군,819421.0,3.5,8월
1999,화순군,1143601.0,4.9,8월
2000,강릉시,2975029.0,12.6,9월
2001,고성군,1118488.0,4.7,9월
2002,동해시,1095333.0,4.6,9월
2003,삼척시,1078454.0,4.6,9월
2004,속초시,2007349.0,8.5,9월
2005,양구군,289345.0,1.2,9월
2006,양양군,1373029.0,5.8,9월
2007,영월군,651819.0,2.8,9월
2008,원주시,2946535.0,12.5,9월
2009,인제군,818383.0,3.5,9월
2010,정선군,806950.0,3.4,9월
2011,철원군,705432.0,3.0,9월
2012,춘천시,3050262.0,12.9,9월
2013,태백시,441175.0,1.9,9월
2014,평창군,1399027.0,5.9,9월
2015,홍천군,1482439.0,6.3,9월
2016,화천군,379607.0,1.6,9월
2017,횡성군,961432.0,4.1,9월
2018,가평군,2578975.0,1.5,9월
2019,고양시 덕양구,5787700.0,3.5,9월
2020,고양시 일산동구,5321271.0,3.2,9월
2021,고양시 일산서구,3704289.0,2.2,9월
2022,과천시,1815968.0,1.1,9월
2023,광명시,3528186.0,2.1,9월
2024,광주시,4170427.0,2.5,9월
2025,구리시,4064225.0,2.4,9월
2026,군포시,2312085.0,1.4,9월
2027,김포시,4688684.0,2.8,9월
2028,남양주시,6807502.0,4.1,9월
2029,동두천시,902241.0,0.5,9월
2030,부천시,6276819.0,3.7,9월
2031,성남시 분당구,7292223.0,4.4,9월
2032,성남시 수정구,3709096.0,2.2,9월
2033,성남시 중원구,2431266.0,1.5,9월
2034,수원시 권선구,3599110.0,2.1,9월
2035,수원시 영통구,5090426.0,3.0,9월
2036,수원시 장안구,3233973.0,1.9,9월
2037,수원시 팔달구,5618964.0,3.4,9월
2038,시흥시,5002629.0,3.0,9월
2039,안산시 단원구,4607830.0,2.8,9월
2040,안산시 상록구,2649911.0,1.6,9월
2041,안성시,3816990.0,2.3,9월
2042,안양시 동안구,3536841.0,2.1,9월
2043,안양시 만안구,2763677.0,1.7,9월
2044,양주시,3172964.0,1.9,9월
2045,양평군,3056529.0,1.8,9월
2046,여주시,2439914.0,1.5,9월
2047,연천군,980423.0,0.6,9월
2048,오산시,2543249.0,1.5,9월
2049,용인시 기흥구,5339390.0,3.2,9월
2050,용인시 수지구,3111962.0,1.9,9월
2051,용인시 처인구,4784923.0,2.9,9월
2052,의왕시,2597323.0,1.6,9월
2053,의정부시,3852048.0,2.3,9월
2054,이천시,3727496.0,2.2,9월
2055,파주시,5192560.0,3.1,9월
2056,평택시,4361316.0,2.6,9월
2057,포천시,2946528.0,1.8,9월
2058,하남시,4992804.0,3.0,9월
2059,화성시,9048669.0,5.4,9월
2060,거제시,1914934.0,5.6,9월
2061,거창군,722936.0,2.1,9월
2062,고성군,856611.0,2.5,9월
2063,김해시,3897479.0,11.5,9월
2064,남해군,763696.0,2.2,9월
2065,밀양시,1369914.0,4.0,9월
2066,사천시,1458387.0,4.3,9월
2067,산청군,631012.0,1.9,9월
2068,양산시,2956593.0,8.7,9월
2069,의령군,407071.0,1.2,9월
2070,진주시,2153722.0,6.3,9월
2071,창녕군,885830.0,2.6,9월
2072,창원시 마산합포구,2369186.0,7.0,9월
2073,창원시 마산회원구,1927296.0,5.7,9월
2074,창원시 성산구,2771320.0,8.2,9월
2075,창원시 의창구,3100627.0,9.1,9월
2076,창원시 진해구,1526752.0,4.5,9월
2077,통영시,1286325.0,3.8,9월
2078,하동군,713429.0,2.1,9월
2079,함안군,994128.0,2.9,9월
2080,함양군,549636.0,1.6,9월
2081,합천군,692188.0,2.0,9월
2082,경산시,3261884.0,10.4,9월
2083,경주시,3966844.0,12.7,9월
2084,고령군,598958.0,1.9,9월
2085,구미시,2345759.0,7.5,9월
2086,군위군,755139.0,2.4,9월
2087,김천시,1219895.0,3.9,9월
2088,문경시,1147592.0,3.7,9월
2089,봉화군,451135.0,1.4,9월
2090,상주시,1312205.0,4.2,9월
2091,성주군,703382.0,2.2,9월
2092,안동시,1657758.0,5.3,9월
2093,영덕군,852633.0,2.7,9월
2094,영양군,194340.0,0.6,9월
2095,영주시,912199.0,2.9,9월
2096,영천시,1254589.0,4.0,9월
2097,예천군,670976.0,2.1,9월
2098,울릉군,175625.0,0.6,9월
2099,울진군,665093.0,2.1,9월
2100,의성군,749341.0,2.4,9월
2101,청도군,936043.0,3.0,9월
2102,청송군,497901.0,1.6,9월
2103,칠곡군,1968239.0,6.3,9월
2104,포항시 남구,2481271.0,7.9,9월
2105,포항시 북구,2544586.0,8.1,9월
2106,광산구,3856735.0,22.4,9월
2107,남구,1867427.0,10.8,9월
2108,동구,3101754.0,18.0,9월
2109,북구,4192958.0,24.3,9월
2110,서구,4210915.0,24.4,9월
2111,세종특별자치시,2822882.0,100.0,9월
2112,괴산군,1104890.0,4.8,9월
2113,단양군,894910.0,3.9,9월
2114,보은군,607568.0,2.6,9월
2115,영동군,691600.0,3.0,9월
2116,옥천군,1036376.0,4.5,9월
2117,음성군,1920955.0,8.3,9월
2118,제천시,1440008.0,6.2,9월
2119,증평군,540892.0,2.3,9월
2120,진천군,1219406.0,5.3,9월
2121,청주시 상당구,2835714.0,12.2,9월
2122,청주시 서원구,2835257.0,12.2,9월
2123,청주시 청원구,2432232.0,10.5,9월
2124,청주시 흥덕구,3213490.0,13.9,9월
2125,충주시,2423252.0,10.4,9월
2126,강서구,3219437.0,6.7,9월
2127,금정구,2770474.0,5.8,9월
2128,기장군,3523228.0,7.4,9월
2129,남구,2713077.0,5.7,9월
2130,동구,2562912.0,5.4,9월
2131,동래구,2910424.0,6.1,9월
2132,부산진구,6009671.0,12.6,9월
2133,북구,2094237.0,4.4,9월
2134,사상구,2540631.0,5.3,9월
2135,사하구,2105372.0,4.4,9월
2136,서구,1759729.0,3.7,9월
2137,수영구,3074170.0,6.4,9월
2138,연제구,2391793.0,5.0,9월
2139,영도구,1627074.0,3.4,9월
2140,중구,3156781.0,6.6,9월
2141,해운대구,5351563.0,11.2,9월
2142,남구,2469540.0,8.0,9월
2143,달서구,4901449.0,15.9,9월
2144,달성군,2616077.0,8.5,9월
2145,동구,5011697.0,16.3,9월
2146,북구,4419654.0,14.4,9월
2147,서구,1788528.0,5.8,9월
2148,수성구,4261005.0,13.9,9월
2149,중구,5267122.0,17.1,9월
2150,고창군,1145031.0,5.3,9월
2151,군산시,2532192.0,11.6,9월
2152,김제시,1243870.0,5.7,9월
2153,남원시,941769.0,4.3,9월
2154,무주군,686070.0,3.2,9월
2155,부안군,1036796.0,4.8,9월
2156,순창군,468525.0,2.2,9월
2157,완주군,1940238.0,8.9,9월
2158,익산시,2269114.0,10.4,9월
2159,임실군,815420.0,3.7,9월
2160,장수군,326678.0,1.5,9월
2161,전주시 덕진구,3347879.0,15.4,9월
2162,전주시 완산구,3441195.0,15.8,9월
2163,정읍시,1073484.0,4.9,9월
2164,진안군,491032.0,2.3,9월
2165,서귀포시,3763499.0,43.0,9월
2166,제주시,4988408.0,57.0,9월
2167,강화군,1680248.0,5.1,9월
2168,계양구,2453023.0,7.5,9월
2169,남동구,4721106.0,14.4,9월
2170,동구,972177.0,3.0,9월
2171,미추홀구,4105605.0,12.5,9월
2172,부평구,4278256.0,13.1,9월
2173,서구,4692579.0,14.3,9월
2174,연수구,4105365.0,12.5,9월
2175,옹진군,666872.0,2.0,9월
2176,중구,5106678.0,15.6,9월
2177,남구,3716951.0,31.3,9월
2178,동구,1142870.0,9.6,9월
2179,북구,1983390.0,16.7,9월
2180,울주군,2935919.0,24.7,9월
2181,중구,2111008.0,17.8,9월
2182,강남구,17918915.0,10.4,9월
2183,강동구,4302155.0,2.5,9월
2184,강북구,2881380.0,1.7,9월
2185,강서구,6794469.0,4.0,9월
2186,관악구,5094084.0,3.0,9월
2187,광진구,6142313.0,3.6,9월
2188,구로구,5164684.0,3.0,9월
2189,금천구,2585656.0,1.5,9월
2190,노원구,5314728.0,3.1,9월
2191,도봉구,2740756.0,1.6,9월
2192,동대문구,4899880.0,2.9,9월
2193,동작구,5094748.0,3.0,9월
2194,마포구,10328348.0,6.0,9월
2195,서대문구,7274523.0,4.2,9월
2196,서초구,13523613.0,7.9,9월
2197,성동구,5240416.0,3.0,9월
2198,성북구,4916138.0,2.9,9월
2199,송파구,10307476.0,6.0,9월
2200,양천구,3238833.0,1.9,9월
2201,영등포구,9180283.0,5.3,9월
2202,용산구,8632291.0,5.0,9월
2203,은평구,3270535.0,1.9,9월
2204,종로구,11892395.0,6.9,9월
2205,중구,11907432.0,6.9,9월
2206,중랑구,3174419.0,1.8,9월
2207,계룡시,510124.0,1.7,9월
2208,공주시,2689056.0,8.9,9월
2209,금산군,1041081.0,3.5,9월
2210,논산시,1580721.0,5.2,9월
2211,당진시,2303129.0,7.6,9월
2212,보령시,1815591.0,6.0,9월
2213,부여군,1151729.0,3.8,9월
2214,서산시,1786044.0,5.9,9월
2215,서천군,1148659.0,3.8,9월
2216,아산시,3317047.0,11.0,9월
2217,예산군,1476035.0,4.9,9월
2218,천안시 동남구,4257247.0,14.1,9월
2219,천안시 서북구,3453248.0,11.5,9월
2220,청양군,474446.0,1.6,9월
2221,태안군,1844003.0,6.1,9월
2222,홍성군,1266867.0,4.2,9월
2223,대덕구,2299072.0,12.0,9월
2224,동구,3197047.0,16.7,9월
2225,서구,5043585.0,26.4,9월
2226,유성구,5105102.0,26.7,9월
2227,중구,3475764.0,18.2,9월
2228,강진군,536789.0,2.3,9월
2229,고흥군,680607.0,2.9,9월
2230,곡성군,528209.0,2.3,9월
2231,광양시,1169714.0,5.0,9월
2232,구례군,481045.0,2.1,9월
2233,나주시,1548651.0,6.7,9월
2234,담양군,1414102.0,6.1,9월
2235,목포시,2362718.0,10.2,9월
2236,무안군,1499926.0,6.5,9월
2237,보성군,702741.0,3.0,9월
2238,순천시,2294230.0,9.9,9월
2239,신안군,651300.0,2.8,9월
2240,여수시,2279272.0,9.8,9월
2241,영광군,965249.0,4.2,9월
2242,영암군,1001645.0,4.3,9월
2243,완도군,536004.0,2.3,9월
2244,장성군,943858.0,4.1,9월
2245,장흥군,512829.0,2.2,9월
2246,진도군,477122.0,2.1,9월
2247,함평군,673760.0,2.9,9월
2248,해남군,871802.0,3.8,9월
2249,화순군,1114167.0,4.8,9월
2250,강릉시,3321197.0,12.4,10월
2251,고성군,1253871.0,4.7,10월
2252,동해시,1130337.0,4.2,10월
2253,삼척시,1095231.0,4.1,10월
2254,속초시,2528720.0,9.4,10월
2255,양구군,276538.0,1.0,10월
2256,양양군,1751766.0,6.5,10월
2257,영월군,731735.0,2.7,10월
2258,원주시,3044991.0,11.3,10월
2259,인제군,1226112.0,4.6,10월
2260,정선군,912364.0,3.4,10월
2261,철원군,933961.0,3.5,10월
2262,춘천시,3230958.0,12.0,10월
2263,태백시,515838.0,1.9,10월
2264,평창군,1737704.0,6.5,10월
2265,홍천군,1609130.0,6.0,10월
2266,화천군,423780.0,1.6,10월
2267,횡성군,1123706.0,4.2,10월
2268,가평군,2811780.0,1.7,10월
2269,고양시 덕양구,5847077.0,3.5,10월
2270,고양시 일산동구,5425156.0,3.2,10월
2271,고양시 일산서구,3718569.0,2.2,10월
2272,과천시,2044675.0,1.2,10월
2273,광명시,3570001.0,2.1,10월
2274,광주시,4680561.0,2.8,10월
2275,구리시,4083177.0,2.4,10월
2276,군포시,2268953.0,1.3,10월
2277,김포시,4793391.0,2.8,10월
2278,남양주시,6816193.0,4.0,10월
2279,동두천시,887285.0,0.5,10월
2280,부천시,6236382.0,3.7,10월
2281,성남시 분당구,7407489.0,4.4,10월
2282,성남시 수정구,3602156.0,2.1,10월
2283,성남시 중원구,2364895.0,1.4,10월
2284,수원시 권선구,3650182.0,2.2,10월
2285,수원시 영통구,4865577.0,2.9,10월
2286,수원시 장안구,3175532.0,1.9,10월
2287,수원시 팔달구,5867913.0,3.5,10월
2288,시흥시,4980257.0,2.9,10월
2289,안산시 단원구,4599470.0,2.7,10월
2290,안산시 상록구,2442131.0,1.4,10월
2291,안성시,3482817.0,2.1,10월
2292,안양시 동안구,3494720.0,2.1,10월
2293,안양시 만안구,2637547.0,1.6,10월
2294,양주시,3094497.0,1.8,10월
2295,양평군,3381205.0,2.0,10월
2296,여주시,2643536.0,1.6,10월
2297,연천군,971233.0,0.6,10월
2298,오산시,2537657.0,1.5,10월
2299,용인시 기흥구,5262531.0,3.1,10월
2300,용인시 수지구,2935510.0,1.7,10월
2301,용인시 처인구,5023277.0,3.0,10월
2302,의왕시,2627558.0,1.6,10월
2303,의정부시,3808105.0,2.3,10월
2304,이천시,3811450.0,2.3,10월
2305,파주시,5106671.0,3.0,10월
2306,평택시,4481308.0,2.7,10월
2307,포천시,3090724.0,1.8,10월
2308,하남시,5201442.0,3.1,10월
2309,화성시,9094129.0,5.4,10월
2310,거제시,2133228.0,5.9,10월
2311,거창군,797769.0,2.2,10월
2312,고성군,967278.0,2.7,10월
2313,김해시,3982805.0,11.1,10월
2314,남해군,858753.0,2.4,10월
2315,밀양시,1522611.0,4.2,10월
2316,사천시,1606784.0,4.5,10월
2317,산청군,752663.0,2.1,10월
2318,양산시,2991495.0,8.3,10월
2319,의령군,422003.0,1.2,10월
2320,진주시,2335323.0,6.5,10월
2321,창녕군,912033.0,2.5,10월
2322,창원시 마산합포구,2435401.0,6.8,10월
2323,창원시 마산회원구,1793638.0,5.0,10월
2324,창원시 성산구,2806180.0,7.8,10월
2325,창원시 의창구,3166762.0,8.8,10월
2326,창원시 진해구,1551383.0,4.3,10월
2327,통영시,1545294.0,4.3,10월
2328,하동군,802567.0,2.2,10월
2329,함안군,1121974.0,3.1,10월
2330,함양군,551562.0,1.5,10월
2331,합천군,833353.0,2.3,10월
2332,경산시,2587188.0,8.1,10월
2333,경주시,4632723.0,14.5,10월
2334,고령군,607657.0,1.9,10월
2335,구미시,2218928.0,7.0,10월
2336,군위군,750549.0,2.4,10월
2337,김천시,1164545.0,3.7,10월
2338,문경시,1245094.0,3.9,10월
2339,봉화군,486509.0,1.5,10월
2340,상주시,1274099.0,4.0,10월
2341,성주군,648645.0,2.0,10월
2342,안동시,1559058.0,4.9,10월
2343,영덕군,974247.0,3.1,10월
2344,영양군,147914.0,0.5,10월
2345,영주시,1028738.0,3.2,10월
2346,영천시,1128956.0,3.5,10월
2347,예천군,644124.0,2.0,10월
2348,울릉군,233000.0,0.7,10월
2349,울진군,785587.0,2.5,10월
2350,의성군,683596.0,2.1,10월
2351,청도군,1109482.0,3.5,10월
2352,청송군,643814.0,2.0,10월
2353,칠곡군,2055969.0,6.5,10월
2354,포항시 남구,2619188.0,8.2,10월
2355,포항시 북구,2623595.0,8.2,10월
2356,광산구,3678362.0,22.1,10월
2357,남구,1683216.0,10.1,10월
2358,동구,3086681.0,18.6,10월
2359,북구,3857500.0,23.2,10월
2360,서구,4308147.0,25.9,10월
2361,세종특별자치시,2752255.0,100.0,10월
2362,괴산군,1151813.0,5.0,10월
2363,단양군,1172589.0,5.1,10월
2364,보은군,764682.0,3.3,10월
2365,영동군,625789.0,2.7,10월
2366,옥천군,1009805.0,4.4,10월
2367,음성군,1903939.0,8.2,10월
2368,제천시,1524121.0,6.6,10월
2369,증평군,590890.0,2.6,10월
2370,진천군,1178951.0,5.1,10월
2371,청주시 상당구,2731338.0,11.8,10월
2372,청주시 서원구,2551457.0,11.0,10월
2373,청주시 청원구,2375943.0,10.3,10월
2374,청주시 흥덕구,3152678.0,13.6,10월
2375,충주시,2403884.0,10.4,10월
2376,강서구,3533344.0,7.2,10월
2377,금정구,2497814.0,5.1,10월
2378,기장군,3765715.0,7.7,10월
2379,남구,2479173.0,5.0,10월
2380,동구,2781119.0,5.7,10월
2381,동래구,2986437.0,6.1,10월
2382,부산진구,6183558.0,12.6,10월
2383,북구,2039639.0,4.1,10월
2384,사상구,2365833.0,4.8,10월
2385,사하구,1948372.0,4.0,10월
2386,서구,1755627.0,3.6,10월
2387,수영구,3382750.0,6.9,10월
2388,연제구,2495212.0,5.1,10월
2389,영도구,1664762.0,3.4,10월
2390,중구,3498876.0,7.1,10월
2391,해운대구,5799430.0,11.8,10월
2392,남구,2392734.0,8.0,10월
2393,달서구,4533737.0,15.1,10월
2394,달성군,2641785.0,8.8,10월
2395,동구,5155783.0,17.2,10월
2396,북구,4043340.0,13.5,10월
2397,서구,1651372.0,5.5,10월
2398,수성구,4068473.0,13.6,10월
2399,중구,5469346.0,18.3,10월
2400,고창군,1107828.0,5.1,10월
2401,군산시,2427414.0,11.1,10월
2402,김제시,1171759.0,5.4,10월
2403,남원시,1001086.0,4.6,10월
2404,무주군,759556.0,3.5,10월
2405,부안군,1038484.0,4.8,10월
2406,순창군,607380.0,2.8,10월
2407,완주군,1945216.0,8.9,10월
2408,익산시,2049888.0,9.4,10월
2409,임실군,947526.0,4.4,10월
2410,장수군,291911.0,1.3,10월
2411,전주시 덕진구,3205092.0,14.7,10월
2412,전주시 완산구,3464450.0,15.9,10월
2413,정읍시,1258453.0,5.8,10월
2414,진안군,502656.0,2.3,10월
2415,서귀포시,4746751.0,44.2,10월
2416,제주시,6001209.0,55.8,10월
2417,강화군,1796034.0,5.5,10월
2418,계양구,2419140.0,7.5,10월
2419,남동구,4758828.0,14.7,10월
2420,동구,886129.0,2.7,10월
2421,미추홀구,3817170.0,11.8,10월
